Key,ShortKey,Source,Row,Module,Field,Role,CN,VN
CollectionHall_48614_Title,auXZ,t图鉴_CollectionHall_A.csv,46,CollectionHall,Title,,门,Cánh cửa
CollectionHall_48636_Desc,auYT,t图鉴_CollectionHall_A.csv,47,CollectionHall,Desc,,"<Title:简介>
三大创始人之一，与华德·菲利普斯，刻拉尔克什一同创立了弥萨格大学的前身——弥萨格学院。
是第一个「唤醒体」，也是提供唤醒体科技的存在。
常年镇守黑池，见过她的脸的人屈指可数，是弥萨格大学最高机密之一。
「嘘……不可试探你的@2。」","<Title:Giới thiệu>\nMột trong ba người sáng lập, cùng với Walter Phillips và Khlarcus, đã thành lập học viện là tiền thân của Đại học Mythag. Là Thể Thức Tỉnh đầu tiên, cũng là người sáng tạo ra công nghệ thức tỉnh, cô đã luôn trấn giữ Hồ đen. Bởi vì sự tồn tại của Tawil được xếp vào tối mật, số người đã từng thấy mặt cô chỉ đếm trên đầu ngón tay. \n「Xì… đừng dò xét @2 của bạn.」"
CollectionHall_48635_Desc,auYQ,t图鉴_CollectionHall_A.csv,48,CollectionHall,Desc,,"<Title:简介>
弥萨格代理院长。
师从克劳利·麦金农，是赫伯特的直系学妹。
赫伯特弑师的见证者之一，在导师死后一直代为处理学院相关事宜。
绝对的效率至上主义者，从不迟到，剪短发是因为可以节省梳头的时间。
因战乱从祖国埃尔克偷渡到雷欧。
右手食指无法正常弯曲，据说是在集中营被残忍对待的证明。","<Title:Giới thiệu>\nLà Hiệu trưởng hiện tại của Đại học Mythag. Cô từng được chỉ dạy dưới tay của Crowley MacKinnon, cũng là thầy giáo trực tiếp của Herbert. Dù đã chứng kiến cảnh tượng Herbert hãm hại thầy giáo của mình, cô vẫn luôn tỉnh táo xử lý các công việc liên quan đến học viện thay mặt cho người thầy đã khuất. Cô là người theo chủ nghĩa hiệu quả tuyệt đối: không bao giờ trễ hẹn, cắt tóc ngắn vì có thể tiết kiệm thời gian chải đầu.\nTrước kia, vì chiến loạn từ Elke mà cô đã vượt biên từ quê hương đến Vương quốc Leo. Ở trại tập trung, cô bị cho là đã trải qua giai đoạn khắc nghiệt. Bằng chứng là ngón trỏ tay phải cô hiện giờ chẳng thể uốn cong bình thường được nữa."
CollectionHall_57621_Title,avJk,t图鉴_CollectionHall_A.csv,49,CollectionHall,Title,,威廉,William
CollectionHall_57621_Desc,avJi,t图鉴_CollectionHall_A.csv,49,CollectionHall,Desc,,"<Title:简介>
弥萨格的资深调查员，被守密人尊称为「学长」的存在。
曾因某些无法言说的原因害怕外出，在校内学习的同时兼任情报组人员。
好友死后，一改以往的作风转投前线，以「做他曾经做过的事」的方式来纪念逝去的朋友。
随身携带一把破碎的银钥匙，艰难地维持着那些日渐消逝的记忆。","<Title:Giới thiệu>\nLà điều tra viên kỳ cựu của Mythag, được những Người Giữ Khóa khác tôn trọng gọi là đàn anh.\nTrước đây, anh từng sợ ra ngoài vì một số lý do không thể nói rõ. Lúc đó anh chỉ cắm đầu vào việc nghiên cứu tại trường đồng thời âm thầm kiêm nhiệm công việc tình báo.\nSau khi người bạn thân qua đời, anh đã thay đổi phong cách sống trước đây và bước ra tiền tuyến. Để tưởng nhớ người bạn ấy, anh quyết định tiếp tục công việc mà cậu ấy đã từng làm.\nGiờ đây, William uôn mang theo bên mình một chiếc Chìa Khóa Bạc bị vỡ, một kỉ vật đang dần bị phai mờ theo năm tháng."
CollectionHall_57617_Title,avIY,t图鉴_CollectionHall_A.csv,50,CollectionHall,Title,,茜尔维娅,Sylvia
CollectionHall_57617_Desc,avIW,t图鉴_CollectionHall_A.csv,50,CollectionHall,Desc,,"<Title:简介>
弥萨格大学的心理老师，负责调查员们的心理疏导。
温柔和善，广受校内师生喜爱，某些弥萨格成员却对她十分畏惧。
且不说那些成分不明的红茶——没人见过她不笑的模样，单是这一点就足够令人毛骨悚然了。","<Title:Giới thiệu>\nGiáo viên trị liệu tâm lý của Đại học Mythag, phụ trách việc hỗ trợ tinh thần cho các điều tra viên.\nDù trên môi luôn nở một nụ cười ôn nhu và thiện lành, một số người ở Mythag lại rất sợ cô.\nCó thể là do những tách trà không rõ thành phần, hoặc đơn giản hơn, chưa từng ai thấy khuôn mặt của cô mà không mang theo nụ cười chẳng hề đổi thay đó cả.\nChỉ cần nghĩ đến là đã đủ khiến người ta lạnh sống lưng rồi."
CollectionHall_57633_Title,avJU,t图鉴_CollectionHall_A.csv,51,CollectionHall,Title,,赫伯特,Herbert
CollectionHall_57633_Desc,avJS,t图鉴_CollectionHall_A.csv,51,CollectionHall,Desc,,"<Title:简介>
雕塑家协会创始人、会长。
幼年罹患脊髓炎，只能在家自学，从那时起便意识到了人类身体的局限性。
长大后进入弥萨格学习，在导师的帮助下找到了研究方向，顺便治愈了自己的疾病。
总是面带和煦的微笑，事实上对人类情感漠不关心。
疏于形象管理，头发和办公桌一样乱。
书桌抽屉里存放着一个文件夹，里面整齐地收藏了克劳利历年发表过的论文——这是赫伯特做过最有条理的一件事。","<Title:Giới thiệu>\nNgười sáng lập và là chủ tịch Hiệp hội Điêu khắc.\nÔng bị viêm tủy sống từ nhỏ và chỉ có thể tự học ở nhà. Từ đó, Herbert đã sớm nhận thức được sự giới hạn của cơ thể con người.\nLớn lên khi vào học tại Mythag, nhờ sự hỗ trợ của thầy giáo , Herbert đã tìm ra hướng nghiên cứu và chữa khỏi căn bệnh của bản thân.\nẨn sâu dưới nụ cười ôn hòa đó là một kẻ hoàn toàn vô cảm trước sự sống của người khác.\nÔng không hề chú ý đến việc quản lý hình ảnh của bản thân, mái tóc và bàn làm việc đều bừa bộn như nhau.\nChỉ có duy nhất một ngoại lệ. Ngăn kéo bàn làm việc chứa các bài luận mà Crowley đã công bố qua các năm vẫn còn được cất giữ vô cùng ngay ngắn cho đến tận bây giờ."
CollectionHall_57633_LockTip,avJT,t图鉴_CollectionHall_A.csv,51,CollectionHall,LockTip,,通关调查行动第1章「东区秘事」解锁,Hoàn thành Chương 1 :「Bí ẩn ở khu phía Đông 」 Để mở khóa
CollectionHall_57648_Desc,avKL,t图鉴_CollectionHall_A.csv,52,CollectionHall,Desc,,"<Title:简介>
华德·菲利普斯的学生，弥萨格第一位守密人。
常年身居地下的秘密区域内，仅有极少数人知道其存在。
精神力卓绝超群，多年来一直凭借特殊秘法维系生命，以此保证弥萨格的安全。
预感到守密人在未来的变局中非常关键，破例让守密人能够随时与自己接触。
既是培养，也是观察。","<Title:Giới thiệu>\nLà Người Giữ Khóa đầu tiên của Mythag. Anh đã theo từng theo học dưới sự chỉ dạy của Ward Phillips.\nVì đã sống ẩn dật dưới lòng đất nên chẳng mấy ai biết đến sự tồn tại của ông.\nNhờ vậy, Alistair đã bí mật bảo vệ Mythag dù cho phải liên tục duy trì sự sống bằng những phương pháp đặc biệt.\nỘng đã dự đoán rằng Người Giữ Khóa sẽ đóng vai trò then chốt cho những biến động ở tương lai. Chính vì thế, những Người Giữ Khóa đã được ông đặc cách diện kiến bất kì lúc nào.\nĐây vừa là quá trình bồi dưỡng những tài năng trẻ, vừa là để quan sát con đường phát triển của họ."
CollectionHall_57648_LockTip,avKM,t图鉴_CollectionHall_A.csv,52,CollectionHall,LockTip,,通关调查行动第2章「以蜡像之名」解锁,Hoàn thành Chương 1 :「Bảo tàng sáp sống động 」 Để mở khóa
CollectionHall_51373_Title,avqi,t图鉴_CollectionHall_A.csv,53,CollectionHall,Title,,莫测之物,Thực thể bí ẩn
CollectionHall_51374_Title,avql,t图鉴_CollectionHall_A.csv,54,CollectionHall,Title,,德克斯特,Dexter
CollectionHall_51374_Desc,avqj,t图鉴_CollectionHall_A.csv,54,CollectionHall,Desc,,"<Title:简介>
弥萨格大学教授，社会活动家，贵族。
曾是挥金如土的花花公子，犯下过一些无伤大雅的罪行，在黑白两道都享有名声。
后来家族被邪教徒灭门，成为唯一的幸存者。那以后发生的事，只有本人能说清楚了。
虽是拉蒙娜的养父，却对拉蒙娜的来历三缄其口。
年轻时门门课程都不及格，却摇身一变成为弥萨格的教授。
为人风流不羁，却从未与任何女性或者男性传出绯闻。
总之是个充满矛盾的家伙。","<Title:Giới thiệu>\nLà một vị quý tộc hiện làm giáo sư tại Đại học Mythag, đồng thời cũng là một nhà hoạt động xã hội.\nDexter từng là một chàng trai khét tiếng tiêu tiền như nước, đến nỗi cả giới thượng lưu lẫn thế giới ngầm ai ai cũng đã từng nghe danh ông.\nThế nhưng, cả gia tộc của ông đã bị giết hại bởi một giáo phái cuồng tín. Chỉ mình ông mới hiểu rõ những gì đã xảy ra sau đó.\nDù là cha nuôi của Ramona, Dexter luôn giữ kín miệng về nguồn gốc của cô.\nThời còn trẻ, ông thi môn nào trượt môn đấy. Thế mà sau này Dexter lại trở thành giáo sư tại Đại học Mythag.\nDù sở hữu một lối sống phóng khoáng, ông chưa từng vướng vào những tin đồn tình ái của xã hội.\nTóm lại, đây là một con người đầy mâu thuẫn."
