Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
EnchantConfig_18188_Desc,awgx,f附魔_EnchantConfig_A.csv,8,EnchantConfig,Desc,,打出后抽 [Arg1] 张牌。,"When you play the engraved card, draw [Arg1] card."
EnchantConfig_18169_Desc,awfL,f附魔_EnchantConfig_A.csv,9,EnchantConfig,Desc,,打出后获得 [Arg1] 点算力。,"When you play the engraved card, recover [Arg1] Arithmetica."
EnchantConfig_18201_Desc,awgX,f附魔_EnchantConfig_A.csv,10,EnchantConfig,Desc,,打出后所属唤醒体获得 [Arg1] 点狂气。,"When you play the engraved card, increase its Awakener's Aliemus by <Energy:[Arg1]>."
EnchantConfig_18183_Desc,awgn,f附魔_EnchantConfig_A.csv,11,EnchantConfig,Desc,,打出后<VulnerabilityIconKeywords:易伤>所有敌人 [Arg1] 回合。,"When you play the engraved card, inflict [Arg1] turn of <VulnerabilityIconKeywords:Vulnerable> on all enemies."
EnchantConfig_18192_Desc,awgF,f附魔_EnchantConfig_A.csv,12,EnchantConfig,Desc,,打出后<WeaknessIconKeywords:虚弱>所有敌人 [Arg1] 回合。,"When you play the engraved card, inflict [Arg1] turn of <WeaknessIconKeywords:Weakness> on all enemies."
EnchantConfig_18196_Desc,awgN,f附魔_EnchantConfig_A.csv,13,EnchantConfig,Desc,,打出后获得 [Arg1] 点护盾。,"When you play the engraved card, gain <Block:[Arg1]> Shield."
EnchantConfig_18200_Desc,awgV,f附魔_EnchantConfig_A.csv,14,EnchantConfig,Desc,,打出后额外生效 [Arg1] 次，获得 [Arg2] 点黑印，<DepleteIconKeywords:消耗>、<GuyouKeywords:固有>。,"The engraved card has <DepleteIconKeywords:Exhaust> and <GuyouKeywords:Innate>. When you play the engraved card, it takes effect [Arg1] extra time, and you receive [Arg2] Black Sigils."
EnchantConfig_18186_Desc,awgt,f附魔_EnchantConfig_A.csv,15,EnchantConfig,Desc,,战斗开始后将 [Arg1] 张临时复制洗入抽牌堆，原始卡牌和镜像卡牌均获得<RetainIconKeywords:保留>。,"At the start of each battle, shuffle [Arg1] basic copy of the engraved card into the Draw Pile. Both the engraved card and the copy it creates have <RetainIconKeywords:Retain>."
EnchantConfig_18199_Desc,awgT,f附魔_EnchantConfig_A.csv,16,EnchantConfig,Desc,,打出后获得 [Arg1] 层<RetaliateIconKeywords:反击>，对所有敌人造成 [Arg2]% <RetaliateIconKeywords:反击>的真实伤害。,"When you play the engraved card, gain [Arg1] <RetaliateIconKeywords:Counter>, then deal True DMG to all enemies equal to [Arg2]% of your <RetaliateIconKeywords:Counter>."
EnchantConfig_18185_Desc,awgr,f附魔_EnchantConfig_A.csv,17,EnchantConfig,Desc,,打出后对所有敌人施加 [Arg1] 层<IntoxicationIconKeywords:中毒>，使所有敌人触发 [Arg2]% <IntoxicationIconKeywords:中毒> 。,"When you play the engraved card, inflict [Arg1] <IntoxicationIconKeywords:Poison> on all enemies, then trigger [Arg2]% of each enemy's <IntoxicationIconKeywords:Poison>."
EnchantConfig_18176_Desc,awfZ,f附魔_EnchantConfig_A.csv,18,EnchantConfig,Desc,,打出后使 1 条触腕攻击 [Arg1] 次。,"When you play the engraved card, trigger [Arg1] Tentacle attack."
EnchantConfig_18191_Desc,awgD,f附魔_EnchantConfig_A.csv,19,EnchantConfig,Desc,,打出后 <EmbryoFusionIconKeywords:胚胎融合>  +[Arg1]%。,"When you play the engraved card, increase <EmbryoFusionIconKeywords:Embryo Fusion> by +[Arg1]%."
EnchantConfig_18204_Desc,awhd,f附魔_EnchantConfig_A.csv,20,EnchantConfig,Desc,,打出后将卡牌的 [Arg1] 张复制加入临时<DimensionalSpaceIconKeywords:超维空间>。,"When you play the engraved card, add [Arg1] copy of it to a Temporary <DimensionalSpaceIconKeywords:Ultra Space> slot."
EnchantConfig_18195_Desc,awgL,f附魔_EnchantConfig_A.csv,21,EnchantConfig,Desc,,打出后获得 [Arg1] 点<PowerIconKeywords:力量>。,"When you play the engraved card, gain [Arg1] <PowerIconKeywords:STR> after its effects resolve."
EnchantConfig_18202_Desc,awgZ,f附魔_EnchantConfig_A.csv,22,EnchantConfig,Desc,,打出后获得 [Arg1] 点临时<PowerIconKeywords:力量>，刻印卡牌也能受到该<PowerIconKeywords:力量>加成。,"When you play the engraved card, first gain [Arg1] Temporary <PowerIconKeywords:STR>, then resolve the card's effects."
EnchantConfig_18203_Desc,awhb,f附魔_EnchantConfig_A.csv,23,EnchantConfig,Desc,,打出后其他唤醒体获得 [Arg1] 狂气。,"When you play the engraved card, increase all other Awakeners' Aliemus by <Energy:[Arg1]>."
EnchantConfig_18182_Desc,awgl,f附魔_EnchantConfig_A.csv,24,EnchantConfig,Desc,,打出后将 [Arg1] 张 <DerivativeCardKeywords_4:「灵感」> 洗入抽牌堆。「灵感-获得 1 算力。抽 1 张牌，<RetainIconKeywords:保留>，<DepleteIconKeywords:消耗>。」,"When you play the engraved card, shuffle [Arg1] <DerivativeCardKeywords_4:""Insight""> into the Draw Pile."
EnchantConfig_18172_Desc,awfR,f附魔_EnchantConfig_A.csv,25,EnchantConfig,Desc,,打出后使所有敌人失去 [Arg1] 点临时<PowerIconKeywords:力量>。,"When you play the engraved card, inflict [Arg1] Temp. <ExhaustionIconKeywords:STR▼> on all enemies."
EnchantConfig_18177_Desc,awgb,f附魔_EnchantConfig_A.csv,27,EnchantConfig,Desc,,打出后抽 [Arg1] 张牌。,"When you play the engraved card, draw [Arg1] cards."
EnchantConfig_18197_Desc,awgP,f附魔_EnchantConfig_A.csv,28,EnchantConfig,Desc,,打出后获得 [Arg1] 点算力。,"When you play the engraved card, recover [Arg1] Arithmetica."
EnchantConfig_18180_Desc,awgh,f附魔_EnchantConfig_A.csv,29,EnchantConfig,Desc,,打出后所属唤醒体获得 [Arg1] 点狂气。,"When you play the engraved card, increase its Awakener's Aliemus by <Energy:[Arg1]>."
EnchantConfig_18174_Desc,awfV,f附魔_EnchantConfig_A.csv,30,EnchantConfig,Desc,,打出后<VulnerabilityIconKeywords:易伤>所有敌人 [Arg1] 回合。,"When you play the engraved card, inflict [Arg1] turns of <VulnerabilityIconKeywords:Vulnerable> on all enemies."
